〇	〇,Ol
㓎	冫彐又,XBDs
㓏	冫冂口,XMOs
㓐	冫土土,XJJs
㓑	冫土十,XJEs
㓒	冫七丶,XFWs
㓓	冫十十,XEEs
㓔	冫身寸,XTIs
㓕	冫戊火,XFXs
㓖	冫日十,XKEs
㓗	冫丰糸,XIAs
㓘	几歹丶,QGWj
㓙	文凵,YAuw
㓚	工刂,ILdg
㓛	工刀,IDdg
㓜	幺刀,ADdy
㓝	キ丨刂,FKLd
㓞	丰刀,IDdf
㓟	皮刂,DLdp
㓠	⺊口刂,LOLd
㓡	缶刂,PLdf
㓢	夂口刂,VOLd
㓣	人一口刂,UGOL
㓤	士口刂,JOLd
㓥	⺌彐刂,NBLd
㓦	丆日刂,GKLd
㓧	人丶口刂,UWOL
㓨	大人刂,FULd
㓩	⺈用刂,QSLd
㓪	丶彐厶刀,WBAD
㓫	大一刂,FGLd
㓬	丷夫刀刂,XJDL
㓭	曰勹乚刂,KSCL
㓮	⺆土口刂,SJOL
㓯	巛田刂,CKLc
㓰	一田凵刂,GKAL
㓱	人一刂刂,UGLL
㓲	户冊刂,ZMLh
㓳	日一龰刂,KGLL
㓴	而大刂,GFLe
㓵	吅一刂,OGLx
㓶	丰刀刂,IDLf
㓷	自木刂,TILz
㓸	匚コ刂,FDLf
㓹	厂火刂,GXLc
㓺	虍文刂,LYLh
㓻	罒一刂,MGLw
㓼	木人氺刂,IUAL
㓽	山宀示刂,MWFL
㓾	尸氺牛刂,DAPL
㓿	禾人氺刂,RUAL
㔀	日亠小刂,KYCL
㔁	癶一䒑刂,DGXL
㔂	米夕刂,XQLm
㔃	糹⺈巴刀,AQDD
㔄	覀米刂,EXLx
㔅	彐十爿刂,BEAL
㔆	匚儿刂,FVLf
㔇	癶弓殳刂,DDQL
㔈	艹非刂,HLLd
㔉	尸丿冂刂,DPML
㔊	亠囗一刂,YNGL
㔋	臣𠂉刂,FPLe
㔌	耳又刂,HDLe
㔍	⺮目廾刂,PNHL
㔎	屮𠂤辛刀,AUYD
㔏	石石石刂,GGGL
㔐	⺮二非刂,PELL
㔑	艹𠂤辛刀,HUYD
㔒	山隹口刂,MTOL
㔓	千力,RClq
㔔	力口〇,COOl
㔕	气力,PClq
㔖	力口𠃍,COBl
㔗	弓{介下}力,DTCg
㔘	屮凵力,AACl
㔙	䒑廾力,XHCl
㔚	千口力,ROCq
㔛	士口力,JOCl
㔜	爫子力,VBCl
㔝	一巾入力,GMVC
㔞	千丬力,RXCq
㔟	生九力,PRCs
㔠	曰勹乚力,KSCC
㔡	{囟框}乂比力,UTVC
㔢	糹⺈巴力,AQDC
㔣	田田力,KKCt
㔤	宀丿田力,WPKC
㔥	罒厶力,MACw
㔦	{养上}丶艮力,XWBC
㔧	虍田力,LKCh
㔨	勹丬匕月,SXVS
㔩	勹土厶皿,SJAM
㔪	勹鹵,SLl
㔫	𠂇匕,HVi
㔬	匕早,VKzi
㔭	匕日龰,VKLi
㔮	艹一匕匕,HGVV
㔯	匚几口,FQOf
㔰	匚夕卜,FQLf
㔱	匚臼人,FUUf
㔲	匚食九,FVRf
㔳	匚食几,FVQf
㔴	匚田八,FKTf
㔵	匚巳八,FDTf
㔶	匚立貝,FYNf
㔷	匚一人,FGUf
㔸	匚⺁几,FRQf
㔹	十力,ECl
㔺	十七十,EFEu
㔻	不十,GEub
㔼	扌隹十,FTEu
㔽	⺊囗口,LNOv
㔾	㔾,Bu
㔿	一丩,GAu
㕀	由㔾,KBuo
㕁	乂𠂇卩,THAi
㕂	厂人乛,GUBc
㕃	厂一廾,GGHc
㕄	厂一幺,GGAc
㕅	厂甲,GKjc
㕆	厂古,GJgc
㕇	厂立,GYlc
㕈	厂衣,GWyc
㕉	厂人口,GUOc
㕊	厂甫,GEfc
㕋	厂金,GVvc
㕌	厂日寸,GKIc
㕍	厂隹,GTwc
㕎	厂土皿,GJMc
㕏	厂一十,GGEc
㕐	厂臼灬,GUSc
㕑	厂士寸,GJIc
㕒	厂䒑戈,GXFc
㕓	厂黑土,GMJc
㕔	厂耳心,GHRc
㕕	厶厶,AAii
㕖	厶厶木,AAIi
㕗	䒑土丶厶,XJWA
㕘	厶厶小,AACi
㕙	厶八丶,ATWi
㕚	又⺀,DZuo
㕛	又又,DDoo
㕜	口丨又,OKDo
㕝	古又,JDog
㕞	尸巾又,DMDo
㕟	⺊冊又,LMDo
㕠	冫隹又,XTDs
㕡	⺊冖口又,LQOD
㕢	⺊冖貝又,LQND
㕣	八口,TOv
㕤	口九,ORj
㕥	口人,OUu
㕦	口大,OFd
㕧	口尸,ODv
㕨	口凡,OQa
㕩	口丰,OIf
㕪	口冖儿,OQVe
㕫	口方,OYu
㕬	口八厶,OTAi
㕭	口夭,ORy
㕮	口八乂,OTTi
㕯	冂人口,MUOv
㕰	口毛,ORm
㕱	口尤,OJo
㕲	口木,OIv
㕳	口乂凵,OTAu
㕴	口冖几,OQQj
㕵	口王,OEv
㕶	口一𫝀,OGDu
㕷	口白,OUb
㕸	口立,OYl
㕹	口𠂇又丶,OHDW
㕺	吅丂,OJkx
㕻	丶不口,WGOv
㕼	口勹乂凵,OSTA
㕽	口乚丶人,OCWU
㕾	小口匕,COVx
㕿	禾口,ROv
㖀	口彐キ,OBFu
㖁	口乂𠂇厶,OTHA
㖂	口电丿,OKPu
㖃	口⺁一口,ORGO
㖄	口{三点}川,OSTc
㖅	口戊一,OFGu
㖆	口冂龷,OMHu
㖇	口而,OGe
㖈	耂匕口,JVOv
㖉	口人止,OULz
㖊	口彐寸,OBIc
㖋	人{介下}口匕,UTOV
㖌	亻九口,TROv
㖍	⺀十口匕,ZEOV
㖎	口匕人{介下},OVUT
㖏	口日土,OKJv
㖐	吅彐丿,OBPx
㖑	口戈廾,OFHv
㖒	口丷丨丿,OXKP
㖓	口夂丰,OVIf
㖔	口天口,OFOv
㖕	口辛,OYx
㖖	辛口,YOvx
㖗	口山丶乛,OMWB
㖘	口辰,OGn
㖙	力口匕,COVl
㖚	亻寸口匕,TIOV
㖛	古口匕,JOVg
㖜	亠口口匕,YOOV
㖝	未口匕,IOVw
㖞	口口冂人,OOMU
㖟	口爫冖又,OVQD
㖠	口大示,OFFs
㖡	口亠夂丶,OYVW
㖢	口广止匕,OWLV
㖣	口立口,OYOv
㖤	口了{四点}凵,OBXA
㖥	口囗禾,ONRv
㖦	口木日,OIKv
㖧	口{卬左}七日,OVFK
㖨	口彐氺,OBAs
㖩	口耳又,OHDo
㖪	口戈口一,OFOG
㖫	口土八夂,OJTV
㖬	口臼又,OUDo
㖭	口天小丶,OFCW
㖮	口人一冊,OUGM
㖯	冂一口匕,MGOV
㖰	口匕一口,OVGO
㖱	亠亻丶口,YTWO
㖲	女口口匕,COOV
㖳	氵女口匕,ZCOV
㖴	口艹勹𰀪,OHSS
㖵	口且八,ONTu
㖶	口覀土,OEJv
㖷	口日一龰,OKGL
㖸	口虍匚一,OLFG
㖹	口八刀皿,OTDM
㖺	口𡗗日,OEKv
㖻	口矛木,OBIv
㖼	口艹二木,OHEI
㖽	口頁,OGy
㖾	吅䒑屮,OXAx
㖿	口耳阝,OHBv
㗀	口山幺幺,OMAA
㗁	口吅一丂,OOGJ
㗂	口小丿目,OCPN
㗃	口巳七日,ODFK
㗄	口罒方,OMYu
㗅	口古月,OJSv
㗆	口革,OHg
㗇	口尸コ又,ODDD
㗈	口龴用力,ODSC
㗉	丰刀口,IDOf
㗊	吅吅,OOxx
㗋	口⺈厂矢,OQGP
㗌	口宀厶土,OWAJ
㗍	口禾日,ORKv
㗎	口力口木,OCOI
㗏	口不一止,OGGL
㗐	口大丶皿,OFWM
㗑	口丿一丰,OPGI
㗒	口衣口,OWOv
㗓	口𠂤辶,OUZd
㗔	口虍文,OLYw
㗕	口𠀎冂土,OHMJ
㗖	口爫臼,OVUj
㗗	口力丿十,OCPE
㗘	口甫寸,OEIc
㗙	口勹勹屮,OSSA
㗚	口覀木,OEIv
㗛	口⺮夭,OPRy
㗜	口亠幺田,OYAK
㗝	口䒑土心,OXJR
㗞	口石皮,OGDp
㗟	氵丶口匕,ZWOV
㗠	女厶口匕,CAOV
㗡	艹亻口匕,HTOV
㗢	口千二力,OREC
㗣	口艹冖巾,OHQM
㗤	戊上口,FLOw
㗥	口亠子阝,OYBB
㗦	口耳丿卩,OHPA
㗧	口穴厶土,OWAJ
㗨	匚矢口,FPOf
㗩	口羽白,OCUb
㗪	口止匕糸,OLVA
㗫	口{祭上}示,OSFs
㗬	⺌冖夕夕,NQQQ
㗭	口丿米心,OPXR
㗮	夕口人,QOUx
㗯	耂日口匕,JKOV
㗰	口彳人龰,OSUL
㗱	口隹木,OTIv
㗲	口彐田一,OBKG
㗳	口⺮一口,OPGO
㗴	口門月,ONSv
㗵	口火火欠,OXXQ
㗶	口癶弓殳,ODDQ
㗷	口宀𠀎贝,OWHM
㗸	口行缶,OSPf
㗹	口隹心,OTRx
㗺	口天非,OFLf
㗻	口冎口辶,ONOZ
㗼	口〢羊八,OLXT
㗽	乚丿阝口,CPBO
㗾	口革亻匕,OHTV
㗿	口門丁口,ONEO
㘀	口臼米,OUXm
㘁	口罒䒑十,OMXE
㘂	口䒑幺心,OXAR
㘃	口艹口心,OHOR
㘄	口木罒方,OIMY
㘅	口行金,OSVv
㘆	口士厶土,OJAJ
㘇	口火冖木,OXQI
㘈	口匕乛龰,OVBL
㘉	口⺮厶卩,OPAA
㘊	口雨言,OJYv
㘋	口臣又貝,OFDN
㘌	口虍豕刂,OLGL
㘍	口小隹戈,OCTF
㘎	口门耳攵,OZHP
㘏	䒑自口匕,XTOV
㘐	口馬八乂,OETT
㘑	口士彐氺,OJBA
㘒	禾千口匕,RROV
㘓	口門囗丷,ONNX
㘔	口宀八貝,OWTN
㘕	口艹𠂉皿,OHPM
㘖	口文彡頁,OYSG
㘗	口目目隹,ONNT
㘘	言糹糹口,YAAO
㘙	口吅耳攵,OOHP
㘚	口門耳攵,ONHP
㘛	口人月{龍右},OUSL
㘜	隹言口,TYOw
㘝	囗又,NDow
㘞	囗力,NClw
㘟	囗廾,NHvw
㘠	囗心丿,NRPw
㘡	囗甲,NKjw
㘢	囗⺌兀,NNGw
㘣	囗口月,NOSw
㘤	囗氵爿,NZAw
㘥	囗爫糸,NVAw
㘦	土力,JCl
㘧	土予,JBy
㘨	土冂人,JMUu
㘩	土比,JVb
㘪	土毛,JRm
㘫	土キ丨,JFKu
㘬	土勹厶,JSAi
㘭	土幺,JABu
㘮	土尸丶,JDWu
㘯	土𠂉力,JPCl
㘰	土⺀十,JZEu
㘱	土冂土,JMJv
㘲	土尸九,JDRj
㘳	丬匕土,XVJv
㘴	口人土,OUJv
㘵	土𠂇巾,JHMj
㘶	夕㐄土,QFJx
㘷	土艹乂,JHTi
㘸	歹匕土,GVJd
㘹	止匕土,LVJz
㘺	土亻戈,JTFg
㘻	土囗大,JNFd
㘼	土耂丂,JJJk
㘽	十戈土,EFJv
㘾	土宀一𬺰,JWGI
㘿	土日土,JKJv
㙀	土穴九,JWRj
㙁	土𠂉母,JPCm
㙂	土丷口儿,JXOV
㙃	土亻工八,JTIT
㙄	土比土,JVJv
㙅	土口木,JOIv
㙆	土宀𠂇厶,JWHA
㙇	土豕丶,JGWu
㙈	土虍几,JLQj
㙉	土冂龷八,JMHT
