〇	〇,Ol
䘓	丿皿⺈臼,PMQU
䘔	丿皿夂口,PMVO
䘕	行亠几,SYQx
䘖	行缶,SPfx
䘗	行山糸,SMAx
䘘	行龶糸,SEAx
䘙	行韋巾,SDMx
䘚	衣十,WEuy
䘛	衤几,WQji
䘜	衤巾,WMji
䘝	衤弋,WFii
䘞	衤马,WAmi
䘟	衤弓丨,WDKi
䘠	衤𠂇乂,WHTi
䘡	比衣,VWyb
䘢	衤宀丁,WWEi
䘣	衤止匕,WLVi
䘤	衤木丶,WIWi
䘥	衤甲,WKji
䘦	衤尸匕,WDVi
䘧	衤冂大,WMFi
䘨	衤亠乂,WYTi
䘩	衤勹日,WSKi
䘪	衤亠儿,WYVi
䘫	女口衣,COWy
䘬	衤戈𠂇,WFHi
䘭	衤一土,WGJi
䘮	十人人{畏下},EUUF
䘯	衤⺌月,WNSi
䘰	衤丿廴,WPBi
䘱	衣八口,WTOy
䘲	衤彐又,WBDi
䘳	衤金,WVvi
䘴	衤木厶,WIAi
䘵	衤彐氺,WBAi
䘶	衤了凵,WBAi
䘷	衤丷八,WXTi
䘸	衤亠丶,WYWi
䘹	衤亠十,WYEi
䘺	衤宀龰,WWLi
䘻	衤亠月,WYSi
䘼	衤宀㔾,WWBi
䘽	衤臼儿,WUVi
䘾	衤宀コ,WWDi
䘿	衤尸凵,WDAi
䙀	衤月月,WSSi
䙁	衤戈戈,WFFi
䙂	衤八心,WTRi
䙃	衤𠂇月,WHSi
䙄	衤千臼,WRUi
䙅	衤覀女,WECi
䙆	衤癶天,WDFi
䙇	衤而大,WGFi
䙈	衤亻矢,WTPi
䙉	衤⺁目,WRNi
䙊	衤卅巾,WHMi
䙋	衤宀日,WWKi
䙌	衤口贝,WOMi
䙍	衤飛,WBfi
䙎	衤爫大,WVFi
䙏	衤甫寸,WEIi
䙐	衤一丨,WGKi
䙑	衤衣一,WWGi
䙒	衤亠田,WYKi
䙓	衤罒厶,WMAi
䙔	衤匚吅,WFOi
䙕	衤彳龰,WSLi
䙖	衤山月,WMSi
䙗	衤亠古,WYJi
䙘	衤戊小,WFCi
䙙	衤尸牛,WDPi
䙚	鳥衣,UWyn
䙛	衤衣口,WWOi
䙜	衤夂辶,WVZi
䙝	衣土丶,WJWy
䙞	衤癶䒑,WDXi
䙟	衤囗韋,WNDi
䙠	衤厂欠,WGQi
䙡	衤口貝,WONi
䙢	衤丷日,WXKi
䙣	衤天非,WFLi
䙤	衤冎辶,WNZi
䙥	衤雨龴,WJDi
䙦	衤艹夕,WHQi
䙧	衤千黑,WRMi
䙨	衤日衣,WKWi
䙩	衤艹豕,WHGi
䙪	木乂大衣,ITFW
䙫	衤丬八,WXTi
䙬	衤貝女,WNCi
䙭	衤宀龰,WWLi
䙮	衤艹隹,WHTi
䙯	衤戊龰,WFLi
䙰	衤亠隹,WYTi
䙱	衤尸虫,WDLi
䙲	覀大,EFdx
䙳	覀火,EXvx
䙴	覀大巳,EFDx
䙵	覀土土,EJJx
䙶	西冖𧘇,EQRx
䙷	見寸,NIcj
䙸	見寸,NIcj
䙹	一廾見,GHNj
䙺	火見,XNj
䙻	丿乚丿見,PCPN
䙼	刀口見,DONd
䙽	大丷見,FXNd
䙾	宀匕見,WVNj
䙿	未見,INjw
䚀	舟見,RNjo
䚁	{向框}口見,UONj
䚂	土{介下}八見,JTTN
䚃	⺊囗コ見,LNDN
䚄	彐氺見,BANj
䚅	木人人見,IUUN
䚆	艹冂大見,HMFN
䚇	小丿見,CPNx
䚈	西土見,EJNx
䚉	丰刀見,IDNf
䚊	䒑八皿見,XTMN
䚋	口貝見,ONNj
䚌	白大見,UFNb
䚍	龶貝見,ENNj
䚎	𡗗臼見,EUNj
䚏	米夕見,XQNm
䚐	矢口見,PONi
䚑	罒貝見,MNNw
䚒	音土見,YJNn
䚓	覀早見,EKNx
䚔	宀一貝見,WGNN
䚕	一冂鹿見,GMWN
䚖	雨吅見,JONy
䚗	⺈用八厶,QSTA
䚘	行⺈用,SQSx
䚙	⺈用二日,QSEK
䚚	⺈用⺧儿,QSPV
䚛	⺈用⺧口,QSPO
䚜	⺈用丿十,QSPE
䚝	⺈用人十,QSUE
䚞	⺈用人人,QSUU
䚟	⺈用一寸,QSGI
䚠	⺈用日比,QSKV
䚡	⺈用田心,QSKR
䚢	⺈用世木,QSHI
䚣	⺈用一龰,QSGL
䚤	⺈用禺,QSKy
䚥	⺈用弓冫,QSDX
䚦	⺈用虍几,QSLQ
䚧	⺈用人彡,QSUS
䚨	⺈用弓殳,QSDQ
䚩	⺈用冂口,QSMO
䚪	⺈用口𧘇,QSOR
䚫	白方用,UYSb
䚬	⺈用夕㐄,QSQF
䚭	⺈用吅隹,QSOT
䚮	言乃,YAn
䚯	言刂,YLd
䚰	言匕,YVi
䚱	言小,YCx
䚲	言彡,YSs
䚳	言十又,YEDo
䚴	言月,YSv
䚵	言⺀十,YZEu
䚶	言天,YFt
䚷	言八丂,YTJk
䚸	言人{介下},YUTu
䚹	言比,YVb
䚺	言攵,YPp
䚻	{炙上}言,SYv
䚼	言コ十,YDEu
䚽	言毛,YRm
䚾	言壬,YRr
䚿	言欠,YQq
䛀	言⺁又,YRDo
䛁	言冂二,YMEe
䛂	言丿廾,YPHv
䛃	言一兀,YGGw
䛄	言夕㔾,YQBu
䛅	言甲,YKj
䛆	言由,YKo
䛇	言几口,YQOv
䛈	言矢,YPi
䛉	言巳七,YDFq
䛊	言口八,YOTu
䛋	言戊,YFw
䛌	言勹巳,YSDs
䛍	言弓{介下},YDTu
䛎	言穴,YWx
䛏	言尸匕,YDVi
䛐	一口言,BGOY
䛑	言心丿,YRPu
䛒	工丂言,IJYg
䛓	〢𠂉言,LPYv
䛔	言而,YGe
䛕	言日乂,YKTi
䛖	言电丿,YKPu
䛗	臣言,FYve
䛘	言亻壬,YTRr
䛙	言亻木,YTIv
䛚	丰刀言,IDYf
䛛	言囗口,YNOv
䛜	言{囟框}乂,YUTi
䛝	言コ十山,YDEM
䛞	言日干,YKEg
䛟	言大人人,YFUU
䛠	言一口䒑,YGOX
䛡	言{卬左}七口,YVFO
䛢	言禾几,YRQj
䛣	言由丂,YKJk
䛤	言口龰,YOLu
䛥	言乂𠂇巾,YTHM
䛦	言八人口,YTUO
䛧	言米乚,YXCu
䛨	言辛,YYx
䛩	言二{亞中},YENu
䛪	言穴弓,YWDg
䛫	言長,YEz
䛬	言勹缶,YSPf
䛭	言土䒑十,YJXE
䛮	言夂卜口,YVLO
䛯	言尸古,YDJg
䛰	言日比,YKVb
䛱	言口丨心,YOKR
䛲	言白巾,YUMj
䛳	言大电,YFKd
䛴	言大丁口,YFEO
䛵	言爫冖又,YVQD
䛶	言丰木,YIIv
䛷	言宀夕㔾,YWQB
䛸	言广⺊口,YWLO
䛹	言{互中}豕,YCGs
䛺	言田人{介下},YKUT
䛻	言⺁十目,YREN
䛼	言臼工,YUIg
䛽	言千臼,YRUj
䛾	言龶糸,YEAv
䛿	言一䒑丨,YGXK
䜀	言刀丿止,YDPL
䜁	言土乚大,YJCF
䜂	言白大十,YUFE
䜃	言隹土,YTJv
䜄	言尸氺牛,YDAP
䜅	言山隹,YMTw
䜆	麻言,WYvm
䜇	言衣八厶,YWTA
䜈	言巛日木,YCKI
䜉	言木人氺,YIUA
䜊	言𠀎冂日,YHMK
䜋	言口丄貝,YOON
䜌	言糹糹,YAAv
䜍	言大日小,YFKC
䜎	言火冖力,YXQC
䜏	言阝工月,YBIS
䜐	阝𠂇月言,BHSY
䜑	言二{亞中}心,YENR
䜒	言{向框}米大,YUXF
䜓	言艹世木,YHHI
䜔	言𠂇月辶,YHSZ
䜕	言艹禺,YHKy
䜖	言覀貝,YENb
䜗	言戊口心,YFOR
䜘	言艹口攵,YHOP
䜙	言日幺灬,YKAS
䜚	言罒八辶,YMTZ
䜛	言⺈口儿,YQOV
䜜	言虍人目,YLUN
䜝	言幺幺乚,YAAC
䜞	言亠{介下}二,YYTE
䜟	言十非一,YELG
䜠	言⺁丅貝,YRJN
䜡	言丆心夂,YGRV
䜢	言宀罒心,YWMR
䜣	讠⺁丅,ZRJy
䜤	讠龷八,ZHTy
䜥	讠日廴,ZKBy
䜦	讠艹日,ZHKy
䜧	讠刀止,ZDLy
䜨	讠口心,ZORy
䜩	讠艹灬,ZHSy
䜪	八人口九,TUOR
䜫	八人口工,TUOI
䜬	八人口由,TUOK
䜭	⺊冖人口,LQUO
䜮	八人宀牛,TUWP
䜯	八人勹米,TUSX
䜰	八人大十,TUFE
䜱	八人罒又,TUMD
䜲	八人⺀乚,TUZC
䜳	一口䒑乚,GOXC
䜴	一口䒑攴,GOXL
䜵	一口䒑皮,GOXD
䜶	一口夂㐄,GOVF
䜷	一口冖又,GOQD
䜸	一口尸毛,GODR
䜹	一口木口,GOIO
䜺	一口龷日,GOHK
䜻	一口一龰,GOGL
䜼	矛攵䒑,BPXm
䜽	一口月刂,GOSL
䜾	一口䒑音,GOXY
䜿	臣𠂉䒑,FPXe
䝀	一口刀田,GODK
䝁	火火口䒑,XXOX
䝂	臣殳䒑,FQXe
䝃	一口幺灬,GOAS
䝄	一口隹又,GOTD
䝅	豕土,GJvs
䝆	勹𰀪豕,SSGs
䝇	八儿豕,TVGs
䝈	豕厂㔾,GGBs
䝉	〢丷冖豕,LXQG
䝊	豕一龰,GGLs
䝋	豕宀示,GWFs
䝌	豕又又,GDDs
䝍	豕冖車,GQJs
䝎	豕山而,GMGs
䝏	豕口女,GOCs
䝐	豕阝月,GBSs
䝑	豕音土,GYJs
䝒	豕耳{飞右},GHTs
䝓	豕巛乚,GCCs
䝔	豕艹隹,GHTs
䝕	豕耳耳,GHHs
䝖	豸爪,VRzz
䝗	豸木,VIvz
䝘	豸殳,VQsz
䝙	豸匚乂,VFTz
䝚	豸尸匕,VDVz
䝛	豸皮,VDpz
䝜	豸厶夂,VAVz
䝝	豸大口,VFOz
䝞	豸虍几,VLQz
䝟	豸丰大,VIFz
䝠	豸厂小,VGCz
䝡	豸艹入,VHVz
䝢	豸曰又,VKDz
䝣	豸氵木,VZIz
䝤	豸大小,VFCz
䝥	豸自十,VTEz
䝦	豸丿{飞右},VPTz
䝧	貝勹冫,NSXb
䝨	〢又貝,LDNb
䝩	貝人彡,NUSb
䝪	貝乛龰,NBLb
䝫	貝𠂉{乍下},NPLb
䝬	貝丶王,NWEb
䝭	貝勹口,NSOb
䝮	貝亠幺,NYAb
䝯	貝𠂉也,NPBb
䝰	貝土寸,NJIb
䝱	力力貝,CCNl
䝲	貝尸⺀,NDZb
䝳	⺊夕又貝,LQDN
䝴	十口冖貝,EOQN
䝵	貝甫,NEfb
䝶	貝亠小,NYCb
䝷	矢口貝,PONi
䝸	貝艹又,NHDb
䝹	貝宀㔾,NWBb
䝺	文文貝,YYNw
䝻	貝尸古,NDJb
䝼	貝龶月,NESb
䝽	貝厂土,NGJb
䝾	一弋止貝,GFLN
䝿	臼人貝,UUNj
䞀	貝亻矢,NTPb
䞁	貝匚女,NFCb
䞂	貝而大,NGFb
䞃	貝一攵,NGPb
䞄	方𠂉也貝,YPBN
䞅	貝辰口,NGOb
䞆	貝⺌貝,NNNb
䞇	土八丶貝,JTWN
䞈	貝爫{爲下},NVSb
䞉	貝丷貝,NXNb
䞊	貝虍目,NLNb
䞋	貝立見,NYNb
䞌	贝千口,MROb
䞍	贝龶月,MESb
䞎	贝日曰,MKKb
䞏	贝田心,MKRb
䞐	贝𡗗日,MEKb
䞑	土{介下}八工,JTTI
䞒	土{介下}一口,JTGO
䞓	土{介下}巛工,JTCI
䞔	土{介下}尸毛,JTDR
䞕	土{介下}雨而,JTJG
䞖	走弋,JFiz
䞗	走𬺰丿,JIPz
䞘	走𠂉乙,JPBz
䞙	走一巾,JGMz
䞚	走十又,JEDz
䞛	走丅,JJBz
䞜	走不,JGbz
䞝	走王丶,JEWz
䞞	走弓{介下},JDTz
䞟	走白,JUbz
䞠	走石,JGvz
䞡	走日一,JKGz
䞢	走𠂉{乍下},JPLz
䞣	走⺁丶,JRWz
䞤	走勹口,JSOz
䞥	走𠂇月,JHSz
䞦	走夂口,JVOz
䞧	走⺁口,JROz
䞨	走土土,JJJz
䞩	走人口,JUOz
䞪	走匚丅,JFJz
䞫	走彐口,JBOz
䞬	走禾乃,JRAz
䞭	走厶夂,JAVz
䞮	走人朩,JUIz
䞯	走爫子,JVBz
䞰	走土八,JJTz
䞱	走八口,JTOz
䞲	走丿戈,JPFz
䞳	走立口,JYOz
䞴	走⺆口,JSOz
䞵	走又又,JDDz
䞶	走日𰀪,JKSz
䞷	走尸凵,JDAz
䞸	走示口,JFOz
䞹	走白王,JUEz
䞺	走⺁目,JRNz
䞻	走龴力,JDCz
䞼	走{互中}豕,JCGz
䞽	走十糸,JEAz
䞾	走⺁几,JRQz
䞿	宀𠀎八走,WHTJ
䟀	走羊工,JXIz
䟁	走巛木,JCIz
䟂	走曰又,JKDz
䟃	走厶彡,JASz
䟄	走龶貝,JENz
䟅	車⺁走,JRJc
䟆	走日十,JKEz
䟇	走幺人,JAUz
䟈	走十壬,JERz
䟉	走罒虫,JMLz
䟊	走虍豕,JLGz
䟋	走⺈言,JQYz
䟌	走十隹,JETz
䟍	走自方,JTYz
䟎	走夫貝,JJNz
䟏	走白木,JUIz
䟐	走厂止,JGLz
䟑	走人冊,JUMz
䟒	走艹隹,JHTz
䟓	⻊丁,OEdz
䟔	⻊卜,OLbz
䟕	⻊又丶,ODWz
䟖	⻊山,OMvz
䟗	⻊{卬左}七,OVFz
䟘	⻊亠几,OYQz
䟙	⻊七刀,OFDz
䟚	⻊一丌,OGHz
䟛	⻊一巾,OGMz
䟜	⻊冂人,OMUz
䟝	⻊殳,OQsz
䟞	⻊小丿,OCPz
䟟	⺁丅口龰,RJOL
䟠	⻊戈乚,OFCz
䟡	⻊{卬左}丶,OVWz
䟢	⻊⺈小,OQCz
䟣	⻊木丶,OIWz
䟤	⻊心丿,ORPz
䟥	⻊矛,OBmz
䟦	⻊千又,ORDz
䟧	⻊田,OKtz
䟨	⻊巳七,ODFz
䟩	⻊土厶,OJAz
䟪	⻊丿之,OPZz
䟫	⺌冖口龰,NQOL
䟬	⻊亻工,OTIz
䟭	⻊𠂉{乍下},OPLz
䟮	⻊亻犬,OTJz
䟯	⻊千口,OROz
䟰	⻊行,OSxz
䟱	⻊木冂,OIMz
䟲	⻊亠儿,OYVz
䟳	口龰羽,OLCy
䟴	⻊辰,OGnz
䟵	⻊𬺰丶,OIWz
䟶	⻊人土,OUJz
䟷	⻊扌丅,OFJz
䟸	⻊{炙上}廾,OSHz
䟹	⻊爫寸,OVIz
䟺	⻊貝,ONbz
䟻	⻊人朩,OUIz
䟼	⻊一止,OGLz
䟽	⻊亠𫶧,OYVz
䟾	⻊又又,ODDz
䟿	⻊彐氺,OBAz
䠀	⻊⺌口,ONOz
䠁	⻊厶二,OAEz
䠂	木木口龰,IIOL
䠃	⻊一入,OGVz
䠄	⻊冂八,OMTz
䠅	⻊囗禾,ONRz
䠆	⻊長,OEzz
䠇	⻊尸凵,ODAz
䠈	⻊彐氺,OBAz
䠉	⻊宀コ,OWDz
䠊	⻊非,OLfz
䠋	⻊白十,OUEz
䠌	⻊水二,OAEz
䠍	⻊尸又,ODDz
䠎	⻊尸土,ODJz
䠏	⻊癶天,ODFz
䠐	⻊目犬,ONJz
䠑	⻊大土,OFJz
䠒	⻊古月,OJSz
䠓	⻊丷酉,OXEz
䠔	⻊䒑𧰨,OXRz
䠕	⻊止木,OLIz
䠖	⻊冫口,OXOz
䠗	⻊自犬,OTJz
䠘	⻊{囟框}比,OUVz
䠙	⻊亠方,OYYz
䠚	⻊穴瓜,OWRz
䠛	⻊爫缶,OVPz
䠜	⻊艹耳,OHHz
䠝	⻊口貝,OONz
䠞	⻊戊小,OFCz
䠟	土䒑口龰,JXOL
䠠	艹一口龰,HGOL
䠡	⻊虍且,OLNz
䠢	艹罒口龰,HMOL
䠣	⻊巳八,ODTz
䠤	⻊吅十,OOEz
䠥	⻊丷攵,OXPz
䠦	⻊矢日,OPKz
䠧	⻊尸日,ODKz
䠨	⻊⺈言,OQYz
䠩	⻊止{步下},OLNz
䠪	⻊幺乚,OACz
䠫	⻊耳{飞右},OHTz
䠬	⻊癶阝,ODBz
䠭	⻊木貝,OINz
䠮	⻊丷馬,OXEz
䠯	⻊人冊,OUMz
䠰	⻊艹隹,OHTz
䠱	⻊尸虫,ODLz
䠲	身人龴,TUDs
䠳	身屮凵,TAAs
䠴	身立,TYls
䠵	身亻寸,TTIs
䠶	身矢,TPis
䠷	身儿{四点},TVXs
䠸	身大丂,TFJs
䠹	身亥,TYhs
䠺	身门口,TZOs
䠻	身穴弓,TWDs
䠼	身人刂,TULs
䠽	身山䒑,TMXs
䠾	身門人,TNUs
䠿	身口貝,TONs
䡀	身亠一,TYGs
䡁	身立{龍右},TYLs
䡂	車丩,JAuc
䡃	車力,JClc
䡄	車几,JQjc
䡅	車川,JTcc
䡆	車八厶,JTAc
䡇	車一兀,JGGc
䡈	車乂乂,JTTc
䡉	車亠几,JYQc
䡊	車⺁又,JRDc
䡋	車十又,JEDc
䡌	車𠂇厶,JHAc
䡍	車夫,JJfc
䡎	車户,JZhc
䡏	車弓厶,JDAc
䡐	車宀匕,JWVc
䡑	車巳七,JDFc
䡒	車田,JKtc
䡓	行車,SJcx
䡔	車夕夕,JQQc
䡕	車了一,JBGc
䡖	車丌土,JHJc
䡗	工凡車,IQJg
䡘	車勹田,JSKc
䡙	車丶艮,JWBc
䡚	車白儿,JUVc
䡛	車車,JJcc
䡜	車土土,JJJc
䡝	車宀㔾,JWBc
䡞	且八車,NTJq
䡟	車白十,JUEc
䡠	車⺊貝,JLNc
䡡	車比白,JVUc
䡢	車户冊,JZMc
䡣	車冖車,JQJc
䡤	耂日車,JKJc
䡥	車穴口,JWOc
䡦	車又木,JDIc
䡧	車烏,JUwc
䡨	羊工車,XIJy
䡩	車十八,JETc
䡪	車户羽,JZCc
䡫	車夂辶,JVZc
䡬	車曰又,JKDc
䡭	車羊十,JXEc
䡮	車彳龰,JSLc
䡯	車{囟框}心,JURc
䡰	士𠃜殳車,JDQJ
䡱	車匚吅,JFOc
䡲	車吅十,JOEc
䡳	車其丅,JHJc
䡴	車音土,JYJc
䡵	車䒑辶,JXZc
䡶	車尸辛,JDYc
䡷	車艹皿,JHMc
䡸	車卝乚,JHCc
䡹	車十龰,JELc
䡺	車丰心,JIRc
䡻	車自方,JTYc
䡼	車雨口,JJOc
䡽	車⺧貝,JPNc
䡾	車虍犬,JLJc
䡿	車雨人,JJUc
䢀	车𠂉乙,FPBc
䢁	车月,FSvc
䢂	车立,FYlc
䢃	尸口辛乂,DOYT
䢄	厶口木,AOIi
䢅	臼辰,UGnj
䢆	冖几辰寸,QQGI
䢇	宀几辰寸,WQGI
䢈	辰人日,GUKn
䢉	𦥑{囟框}乂辰,UUTG
䢊	子辶辶,BZZz
䢋	丌辶,HZdj
䢌	一巾辶,GMZd
䢍	方辶,YZd
䢎	一廾辶,GHZd
䢏	⺀十辶,ZEZd
䢐	且辶,NZdq
䢑	{卬左}七丶辶,VFWZ
䢒	亠八乂辶,YTTZ
䢓	宀一𬺰辶,WGIZ
䢔	人一口辶,UGOZ
䢕	戊丶辶,FWZw
䢖	彐キ辶,BFZd
䢗	冂龷辶,MHZd
䢘	宀寸辶,WIZd
䢙	貝辶,NZdb
䢚	一日乂辶,GKTZ
䢛	冂八口辶,MTOZ
䢜	彐冖巾辶,BQMZ
䢝	二{亞中}辶,ENZe
䢞	木木辶,IIZd
䢟	方攵辶,YPZd
䢠	火廾辶,XHZd
䢡	世木辶,HIZs
䢢	人丶口辶,UWOZ
䢣	夕言辶,QYZx
䢤	禾木丶辶,RIWZ
䢥	一止目辶,GLNZ
䢦	亠幺十辶,YAEZ
䢧	羽人辶,CUZy
䢨	彳人辶,SUZr
䢩	一𫝀攵辶,GDPZ
䢪	夭口辶,ROZy
䢫	阝𠂇月辶,BHSZ
䢬	爫冖㐄辶,VQFZ
䢭	䒑土欠辶,XJQZ
䢮	雨田辶,JKZy
䢯	火火㐄辶,XXFZ
䢰	羽隹辶,CTZy
䢱	士罒貝辶,JMNZ
䢲	目目又辶,NNDZ
䢳	几阝,QBvj
䢴	千阝,RBvq
䢵	二厶阝,EABe
䢶	木阝,IBv
䢷	⺆亠阝,SYBv
䢸	且阝,NBvq
䢹	匚コ阝,FDBf
䢺	屮凵阝,AABv
䢻	臣阝,FBve
䢼	龷八阝,HTBv
䢽	龷八口巴,HTOD
䢾	⺧儿阝,PVBv
䢿	宀女阝,WCBv
䣀	⺈厂㔾阝,QGBB
䣁	羽阝,CBvy
䣂	耒阝,IBvl
䣃	𠂉一止阝,PGLB
䣄	人一朩阝,UGIB
䣅	辰阝,GBvn
䣆	一巛工阝,GCIB
䣇	𬺰{四点}丶阝,IXWB
䣈	口巴口巴,ODOD
䣉	氵小口巴,ZCOD
䣊	⺌冂口阝,NMOB
䣋	丿米阝,PXBv
䣌	广{卬左}阝,WVBg
䣍	大电阝,FKBd
䣎	巛田阝,CKBc
䣏	亻龷八阝,THTB
䣐	艹冂大阝,HMFB
䣑	厂甲阝,GKBc
䣒	口丄贝阝,OOMB
䣓	一口丨阝,GOKB
䣔	⺌貝阝,NNBv
䣕	馬阝,EBvm
䣖	馬口巴,EODm
䣗	白大阝,UFBb
䣘	⺌冖土阝,NQJB
䣙	山月月阝,MSSB
䣚	口十女阝,OECB
䣛	木人氺阝,IUAB
䣜	虍且阝,LNBh
䣝	尸耂日阝,DJKB
䣞	吅䒑阝,OXBx
䣟	匚儿阝,FVBf
䣠	夫夫阝,JJBf
䣡	䒑土戈阝,XJFB
䣢	耒龷阝,IHBl
䣣	⺌冖黑阝,NQMB
䣤	目目又阝,NNDB
䣥	酉匕,EViy
䣦	酉力,ECly
䣧	酉弋,EFiy
䣨	酉丿七,EPFy
䣩	酉七凵,EFAy
䣪	酉一巾,EGMy
䣫	酉十又,EEDy
䣬	酉戈,EFgy
䣭	酉犬,EJqy
䣮	酉𠂇丶,EHWy
䣯	酉且,ENqy
䣰	酉匚コ,EFDy
䣱	酉勹口,ESOy
䣲	酉厶廾,EAHy
䣳	酉口,EBOy
䣴	酉乂儿,ETVy
䣵	酉耳,EHey
䣶	酉千口,EROy
䣷	酉牛八,EPTy
䣸	亻壬酉,TREy
䣹	酉亻戈,ETFy
䣺	酉口月,EOSy
䣻	酉人口,EUOy
䣼	酉亠小,EYCy
䣽	矢口酉,POEi
䣾	酉宀且,EWNy
䣿	酉一皿,EGMy
䤀	酉艹口,EHOy
䤁	酉其乚,EHCy
䤂	酉艹木,EHIy
䤃	酉音,EYny
䤄	酉丆二,EGEy
䤅	酉人刂,EULy
䤆	酉癶天,EDFy
䤇	酉宀又,EWDy
䤈	酉八皿,ETMy
䤉	酉心皿,ERMy
䤊	酉艹耳,EHHy
䤋	丷酉口一,XEOG
䤌	酉人口,EUOy
䤍	酉艹入,EHVy
䤎	酉矛口,EBOy
䤏	酉非手,ELRy
䤐	酉匚曰,EFKy
䤑	酉龷八,EHTy
䤒	酉幺人,EAUy
䤓	酉艹豕,EHGy
䤔	氵車丅酉,ZJJE
䤕	酉白木,EUIy
䤖	酉日氺,EKAy
䤗	立早酉,YKEl
䤘	酉人一,EUGy
䤙	酉{互中}虫,ECLy
䤚	月甲二,SKEe
䤛	金丩,VAu
䤜	金丿七,VPFq
䤝	金{卬左}卩,VVAe
䤞	金尤,VJo
䤟	金冖几,VQQj
䤠	金止,VLz
䤡	金冂土,VMJv
䤢	金口力,VOCl
䤣	金丿丷𬺰,VPXI
䤤	金亥,VYh
䤥	金⺈厂㔾,VQGB
䤦	金亻戈,VTFg
䤧	金囗口,VNOv
䤨	金⺁𧘇,VRRu
䤩	金宀丿七,VWPF
䤪	金几木,VQIv
䤫	金山丶乛,VMWB
䤬	金氵小丿,VZCP
䤭	金乂𠂇巾,VTHM
䤮	金止{步下},VLNu
䤯	金一廾彡,VGHS
䤰	土欠金,JQVv
䤱	金山⺁丅,VMRJ
䤲	金土{介下}八,VJTT
䤳	金亠夂丶,VYVW
䤴	金了{四点}凵,VBXA
䤵	金非,VLf
䤶	金大电,VFKd
䤷	金匚日女,VFKC
䤸	金{互中}豕,VCGs
䤹	金宀火又,VWXD
䤺	金石⺁丅,VGRJ
䤻	金𠂇工月,VHIS
䤼	金白水,VUAs
䤽	金罒小八,VMCT
䤾	金爫臼,VVUj
䤿	金丰刀手,VIDR
䥀	金屮一虫,VAGL
䥁	金龴䒑十,VDXE
䥂	金冖一豕,VQGG
䥃	金冖隹,VQTw
䥄	金厂龷日,VGHK
䥅	十王王金,EEEV
䥆	亠非金,YLVv
䥇	金户羽,VZCy
䥈	金艹犬廾,VHJH
䥉	金宀儿丶,VWVW
䥊	金龶貝,VENb
䥋	金亠了灬,VYBS
䥌	宀日日金,WKKV
䥍	土䒑丶金,JXWV
䥎	金辰月,VGSv
䥏	金彳止卩,VSLA
䥐	矛夂金,BVVm
䥑	金木人夂,VIUV
䥒	弓口金,DOVg
䥓	金其土,VHJv
䥔	金覀米,VEXm
䥕	金丷八攵,VXTP
䥖	金丷酉大,VXEF
䥗	金士示欠,VJFQ
䥘	金人人日,VUUK
䥙	金阝䒑𧰨,VBXR
䥚	几目金,QNVj
䥛	金丰刀糸,VIDA
䥜	金門木,VNIv
䥝	金鹿匕,VWVi
䥞	金白方攵,VUYP
䥟	金扌人乚,VFUC
䥠	金艹一口,VHGO
䥡	金片世木,VTHI
䥢	士口又金,JODV
䥣	臼土金,UJVj
䥤	金雨勹巳,VJSD
䥥	金立〢八,VYLT
䥦	金𠂇月辶,VHSZ
䥧	金虍人目,VLUN
䥨	金門口口,VNOO
䥩	金彳几攵,VSQP
䥪	金日幺灬,VKAS
䥫	金十戈隹,VEFT
䥬	金艹甫寸,VHEI
䥭	𬺰{四点}丶金,IXWV
䥮	金覀臣卩,VEFA
䥯	金罒匕匕,VMVV
䥰	金亠虫虫,VYLL
䥱	金宀勹灬,VWSS
䥲	金匚吅欠,VFOQ
䥳	金丆心夂,VGRV
䥴	金山隹{雋下},VMTM
䥵	金日土兀,VKJG
䥶	金厂禾止,VGRL
䥷	金⺮廾刂,VPHL
䥸	弓爾金,DJVg
䥹	金丰刀齒,VIDL
䥺	钅牙,PFyj
䥻	钅干乚,PECj
䥼	钅勹𰀪,PSSj
䥽	钅发,PAfj
䥾	钅一一,PGGj
䥿	钅⺁,PRBj
䦀	钅羽,PCyj
䦁	钅丰阝,PIBj
䦂	钅户羽,PZCj
䦃	钅艹日,PHKj
䦄	钅一𧘇,PGRj
䦅	钅羊口,PXOj
䦆	钅目又,PNDj
䦇	镸八乚,ETCc
䦈	镸𠂇工,EHIc
䦉	镸囗儿,ENVc
䦊	镸上小,ELCc
䦋	镸龶攵,EEPc
䦌	門土,NJvm
䦍	門𠂉乙,NPBm
䦎	門一兀,NGGm
䦏	門人{介下},NUTm
䦐	門手,NRsm
䦑	門コ人,NDUm
䦒	門石,NGvm
䦓	門⺊口,NLOm
䦔	門日一,NKGm
䦕	門䒑廾,NXHm
䦖	門士口,NJOm
䦗	門丿皿,NPMm
䦘	門艮,NBgm
䦙	門土寸,NJIm
䦚	門千口,NROm
䦛	門⺈亅,NQBm
䦜	門一口,NGOm
䦝	門土八,NJTm
䦞	門氵王,NZEm
䦟	門人土,NUJm
䦠	門豕丶,NGWm
䦡	門宀コ,NWDm
䦢	門氵厶,NZAm
䦣	門立口,NYOm
䦤	門又又,NDDm
䦥	門木木,NIIm
䦦	門金,NVvm
䦧	門臼儿,NUVm
䦨	門木日,NIKm
䦩	門目夂,NNVm
䦪	門曰乚,NKCm
䦫	門艹大,NHFm
