曰	日
㬨	日土金金
𣇾	日土金水
𬀻	日土金土
𭦩	日土金山
時	日土木戈
㫭	日土木戈
𪱖	日土木大
𬖻	日土火木
晆	日土土
𭨍	日土土金
𣈹	日土土土
曉	日土土山
𬁕	日土土山
𥣷	日土竹木
㫢	日土戈
𢧄	日土戈
𭨎	日土戈口一
𬁃	日土戈尸
𣊎	日土十戈
𣊎	日土十大
㫱	日土中金
𣇐	日土中金
𬀾	日土中中
𣋬	日土弓戈
𣊌	日土人土
𣇌	日土心
𮡛	日土手竹心
𪰙	日土口
𭨉	日土口土
𣌐	日土口一
暿	日土口口
𰖢	日土尸大
𣊝	日土廿木
𣈑	日土廿十
𣉊	日土廿山
𣆷	日土山土
𣋺	日土田金
𪰹	日土田土
𠃜	日竹
𣅩	日竹日
𣆆	日竹日
𭧘	日竹日火
𣈷	日竹日土
暭	日竹日十
暤	日竹日十
𭦸	日竹日大
𣊷	日竹日心竹
𣆿	日竹日山
𬚳	日竹月
𣋉	日竹月大
㫼	日竹月弓
𪰮	日竹月弓
晌	日竹月口
晑	日竹月口
眉	日竹月山
𣆢	日竹月山
𪱔	日竹月山
𮙸	日竹月山金
𣆔	日竹月卜
𥂺	日竹金一廿
𣊜	日竹金人
𭦏	日竹木弓
𣊩	日竹木田
昄	日竹水
𠬮	日竹水
𣇔	日竹水十
昸	日竹水一
㫡	日竹水一
𰖋	日竹水人
𪰠	日竹水手
𭥵	日竹水口
𰖶	日竹水廿
𭧐	日竹水山
昸	日竹水卜
㫡	日竹水卜
𤈌	日竹火
𡮤	日竹火
𰪰	日竹火木
𡮩	日竹火竹
曛	日竹土火
𣊳	日竹土火
晧	日竹土口
𰖅	日竹土山
鶍	日竹竹日火
𪃌	日竹竹日火
𦤋	日竹竹月山
𥟙	日竹竹木
𥟟	日竹竹木
𢒗	日竹竹竹竹
𣈢	日竹竹十
𣉧	日竹竹大
昴	日竹竹中
𬁋	日竹竹中
𭦢	日竹竹中
𣂨	日竹竹一中
𭥥	日竹竹弓
䬗	日竹竹弓戈
𣉺	日竹竹手人
𰖝	日竹竹田
㦹	日竹戈
𣉨	日竹戈
𣋇	日竹戈水戈
𣉷	日竹戈火山
𣉝	日竹戈十
𣉝	日竹戈大
𣆅	日竹戈人
𣆦	日竹十木
𪰴	日竹十水
𬁇	日竹十土
𣇦	日竹十一
𭥹	日竹十口
𰖒	日竹大日
㬖	日竹大口
