曰	日
𣵿	水人口山
𣶜	水人口女
泎	水人尸
𰜘	水人尸木
𣷽	水人尸水
洢	水人尸大
沧	水人尸山
潕	水人廿火
濮	水人廿人
𪶤	水人廿人
㵲	水人廿手
𤃙	水人廿廿
𣳈	水人山
𭖜	水人山
𣼱	水人田月
海	水人田十
𬉕	水人田山
海	水人田卜
𤀇	水人卜火
𭰠	水人卜土
𭲅	水人卜大
𰴸	水人卜一口
𰜸	水人卜口
涖	水人卜廿
𣳁	水人卜女
沁	水心
㲺	水心
𢗨	水心
洵	水心日
𣇹	水心日
𣹯	水心日尸
𰜠	水心日女
滇	水心月金
𥁩	水心月廿
𬐥	水心月廿
池	水心木
柒	水心木
𤃡	水心木金
𤂰	水心木水
𣼋	水心木人
𭳕	水心水金
𪷿	水心火金
淗	水心火木
𥺜	水心火木
埿	水心土
𡔆	水心土
𣳃	水心土
𣳊	水心土
泌	水心竹
㳷	水心竹日
𭰴	水心竹月
㳴	水心竹土
沕	水心竹竹
淴	水心竹心
湉	水心竹口
𭰞	水心竹口
㴵	水心竹廿
𭱓	水心竹山
𣹒	水心竹田
沟	水心戈
汋	水心戈
汮	水心戈一
𣴈	水心十弓
𣲢	水心大
𤁼	水心大木
𭳔	水心大水
𤁒	水心大人
𪶿	水心大人
浺	水心中
汋	水心一
𣻳	水心一金
𨢯	水心一金田
汮	水心一一
𪶥	水心一一
湉	水心一口
𭱖	水心弓心
𩸧	水心弓田火
𣻰	水心人土
𣶠	水心人心
𣶾	水心人心
淘	水心人山
沘	水心心
𢛜	水心心
𢛣	水心心
𭯻	水心心
湝	水心心日
𭲹	水心心土
𰛭	水心心土
𣸢	水心心竹
𰛡	水心心十
𣾫	水心心心
泃	水心口
泡	水心口山
沏	水心尸竹
泡	水心尸山
泄	水心廿
𣻉	水心廿月
𣽒	水心廿金
渫	水心廿木
沌	水心山
𣺷	水心山月
洶	水心山大
𣺥	水心山山
𣵦	水心田
𬇼	水心卜木
鸡	水心卜一
渹	水心卜口
𠬤	水手
𣲬	水手
𣾸	水手日人
𬇫	水手日山
瀞	水手月木
𤂅	水手月戈
𭲕	水手月大
𰝓	水手月大
𬈴	水手月中
𬈚	水手月弓
𥂆	水手月廿
濪	水手月山
㵾	水手月山
𪷍	水手月山
𬈗	水手月女
洡	水手木
𠬽	水手木
𤁏	水手木日
𣳏	水手水
𣴷	水手火竹
𤀝	水手火中
𣾗	水手火尸
堻	水手土
𰝙	水手竹月
潔	水手竹火
𣵱	水手竹土
𣸲	水手竹大
浙	水手竹中
𣴜	水手竹心
𣸅	水手竹口
𭳐	水手竹田
𣴮	水手戈
𣼁	水手戈弓水
沣	水手十
𣳱	水手十竹
𣵮	水手十中
湱	水手十口
滟	水手十山
湷	水手大日
溱	水手大木
溙	水手大水
𬈙	水手大火
涛	水手大戈
𤅧	水手大戈
湊	水手大大
淎	水手大手
𣻛	水手大難
𰜱	水手中日
𰛫	水手中中
𰝪	水手中一月
𰛫	水手中弓
𣻂	水手中口
清	水手一月
淸	水手一月
𣼌	水手一月
漬	水手一金
𭰗	水手一水
溸	水手一火
𤁡	水手一十
𭯾	水手一弓
渍	水手一人
𣷴	水手一女
𰜲	水手一田
𬇘	水手弓戈
𰛓	水手弓戈
𰛎	水手人
潜	水手人日
𤄵	水手人月
濽	水手人金
𤄴	水手人金
㳺	水手人木
𤁥	水手人十
𭣧	水手人大
𣻧	水手人心
湁	水手人口
𰝔	水手人口
𱉟	水手心卜一
𣲗	水手尸
滶	水手尸大
𭰬	水手尸心
𪶎	水手尸口
𪪴	水手廿
𣲃	水手山
𣲞	水手山
𤀷	水手卜戈月
𤃧	水手卜手
𪶜	水手卜廿
𭰪	水手卜廿
呇	水口
𠮢	水口
𬇖	水口
𰝕	水口日廿
浥	水口日山
涓	水口月
溳	水口月金
𣺪	水口月金
𣵢	水口月一
涢	水口月人
𣸙	水口月廿
𬐴	水口月廿
𣲵	水口金
㳭	水口木
𣚘	水口木
𣳚	水口水
𤊁	水口火
𭵆	水口火
𣺰	水口火月
𡎒	水口土
𣳤	水口土
𭏄	水口土
𰊇	水口土
𣶞	水口土月
𣹽	水口土土
𤀙	水口竹火
浧	水口竹土
𣵗	水口竹大
況	水口竹山
𪸅	水口竹女火
濈	水口戈十
𠦭	水口十
𣳀	水口十
𣾻	水口十日
𤂫	水口十金
𬉌	水口十金
濈	水口十戈
𬉢	水口十戈
𤀅	水口大口
𣴫	水口中水
𣹑	水口中戈
𣳄	水口中一
𰛜	水口中口
渑	水口中山
𬇡	水口中山
𬪵	水口一金田
𬇢	水口一木
浧	水口一土
洖	水口一大
𤂊	水口一中
潞	水口一口
𣾃	水口一山
𭲭	水口一山
𨚨	水口弓中
𨛠	水口弓中
𣤌	水口弓人
𣵶	水口弓人
涡	水口人月
𩀢	水口人土
𣼲	水口人土
𣵴	水口人弓
惉	水口心
𢜃	水口心
𢢉	水口心
𭝴	水口心
湣	水口心日
𬉌	水口心金
𣵓	水口心竹
𣳮	水口口
𤀭	水口口金
澡	水口口木
潬	水口口十
𤅙	水口口大
𰜗	水口口口
湂	水口口尸
𣻵	水口口尸
𣽺	水口口尸
澏	水口口山
𰜵	水口口田
溊	水口尸水
湒	水口尸十
𪶃	水口尸弓
𪷢	水口尸弓
𢍡	水口廿
㽏	水口廿一
汜	水口山
潠	水口山金
𮭃	水口山火
𡝫	水口女
𡞠	水口女
𭒞	水口女
𣷢	水口女月
潠	水口女金
𣹺	水口女水
洖	水口女大
泯	水口女心
𣳧	水口女女
𣽴	水口田月
𣾿	水口田女
澠	水口難山
浞	水口卜人
汇	水尸
𣹐	水尸日女
涮	水尸月弓
𥁡	水尸月廿
𣷍	水尸月山
澱	水尸金水
渠	水尸木
𰝫	水尸木火
㳮	水尸水
𤂎	水尸水月
𤂐	水尸水金
𪷬	水尸水火
𣻹	水尸水土
𣿬	水尸水土
灟	水尸水戈
𣺳	水尸水弓
㵵	水尸水人
漽	水尸水手
𣿲	水尸水山
㴮	水尸火月
𤆀	水尸火火
𣻷	水尸火戈
㶠	水尸火十
𬉆	水尸火女
𣵹	水尸土
𣼉	水尸土弓
𣱼	水尸竹
𭲫	水尸竹月
𥞹	水尸竹木
㲽	水尸竹竹
𣴀	水尸竹竹
㲽	水尸竹戈
𣷋	水尸竹戈
𬇳	水尸竹中
澀	水尸竹一
涩	水尸竹一
𣹣	水尸竹一
𣲻	水尸竹弓
涊	水尸竹心
沼	水尸竹口
𣻭	水尸竹廿
浘	水尸竹山
浼	水尸竹山
淊	水尸竹難
𣺘	水尸戈月
𤅤	水尸戈月
𬇲	水尸戈木
𰜋	水尸戈水
𭱟	水尸戈戈
澀	水尸戈一
涩	水尸戈一
涊	水尸戈心
濫	水尸戈廿
𣿠	水尸戈田
洱	水尸十
潳	水尸十日
𣼚	水尸十月
滠	水尸十水
𭰮	水尸十水
𭳝	水尸十火
𤃎	水尸十土
𣺌	水尸十竹
𬉭	水尸十戈
灄	水尸十十
𭱌	水尸十十
𣾍	水尸十大
𣼾	水尸十中
𪶘	水尸十中
𣹼	水尸十一
涺	水尸十口
𣽅	水尸十口
𣿛	水尸十口
㶌	水尸十廿
㳧	水尸十山
㴷	水尸十山
沤	水尸大
𣲫	水尸大
𬇲	水尸大木
𭱟	水尸大大
泦	水尸大弓
𣳣	水尸大弓
涒	水尸大口
𠨏	水尸中
㶊	水尸中金
𧕎	水尸中戈戈
洍	水尸中中
𭰍	水尸中中
瀶	水尸中口
𪶬	水尸中卜
汈	水尸一
𪫆	水尸一
𭰖	水尸一
漝	水尸一日
漏	水尸一月
瀥	水尸一月
㴆	水尸一月
𣼣	水尸一月
瀷	水尸一金
浸	水尸一水
𣵌	水尸一水
𣹰	水尸一水
𰛻	水尸一火
渥	水尸一土
濯	水尸一土
洭	水尸一土
漻	水尸一竹
潯	水尸一戈
浔	水尸一戈
𣼢	水尸一戈
𰝐	水尸一戈
濢	水尸一十
瀈	水尸一十
𣼢	水尸一中
𤁍	水尸一一
㵤	水尸一人
𣽓	水尸一心
𰝍	水尸一手
泀	水尸一口
濫	水尸一廿
𪷊	水尸一廿
𬉇	水尸一廿
𤂺	水尸一山
涱	水尸一女
潺	水尸弓木
𣾮	水尸弓水
𣼇	水尸弓山
沢	水尸人
滙	水尸人土
𣾀	水尸人土
𠄄	水尸人弓
𭱟	水尸人人
浕	水尸人卜
泥	水尸心
𢙁	水尸心
𤂏	水尸心火
𬈤	水尸心一
𬉚	水尸心一
𤀛	水尸心人
𣴅	水尸手
溤	水尸手火
𭱃	水尸手廿
𣻴	水尸手女
𣲳	水尸口
𬉊	水尸口土
澼	水尸口十
㴫	水尸口中
𪷧	水尸口手
漚	水尸口口
𣼨	水尸口廿
洰	水尸尸
𬇴	水尸尸口
𣵬	水尸尸尸
𪵲	水尸尸山
𭰨	水尸尸山
㶜	水尸廿弓
𰜣	水尸廿手
𭱶	水尸廿口
𣸹	水尸廿廿
𣺹	水尸廿女
氾	水尸山
𣲆	水尸山
𣻨	水尸山水
𤀠	水尸山火
𣶕	水尸山一
𪷨	水尸山心
淈	水尸山山
𣽶	水尸山山
𡜂	水尸女
𣳐	水尸女
𪵶	水尸女尸
𭰙	水尸田中
𤅸	水尸田廿
灠	水尸田山
𣹲	水尸卜十
𣸹	水尸卜十
𣴻	水尸卜一
𭳙	水尸卜口
𣶅	水尸卜廿
𣴆	水尸卜卜
𣲟	水廿
㳻	水廿日
𤃦	水廿日日
濗	水廿日月
𰝭	水廿日水
𤅠	水廿日火
𤂦	水廿日土
𫞞	水廿日土
𣿴	水廿日竹
𣺞	水廿日十
漠	水廿日大
𭲝	水廿日中
漢	水廿日人
𭳲	水廿日心
㵧	水廿日女
灡	水廿日田
𣷎	水廿月
淟	水廿月金
𤅎	水廿月金
溁	水廿月木
𪷠	水廿月水
𬈜	水廿月水
潆	水廿月火
𤁱	水廿月火
𣸨	水廿月火
滢	水廿月戈
𭰯	水廿月戈
𭳰	水廿月戈
潵	水廿月大
𰝨	水廿月一
湔	水廿月弓
濛	水廿月人
𭳏	水廿月心
𰝅	水廿月口
涝	水廿月尸
𤃐	水廿月田
洪	水廿金
潽	水廿金日
𣺙	水廿金月
𫞜	水廿金月
𭱩	水廿金月
𭲞	水廿金月
澲	水廿金木
灇	水廿金水
𬈘	水廿金水
𭳖	水廿金水
濝	水廿金火
𪃡	水廿金火
𣻺	水廿金土
𣶼	水廿金竹
𫞙	水廿金戈
𣿢	水廿金十
澌	水廿金中
𰜝	水廿金中
𣽳	水廿金弓
𤁦	水廿金弓
𣾴	水廿金人
𣺖	水廿金心
𣽫	水廿金心
溢	水廿金廿
𭱄	水廿金廿
港	水廿金山
𣿑	水廿金山
瀁	水廿金女
湭	水廿金田
𣷞	水廿木
𣼛	水廿水月
𭳭	水廿水戈
𪷥	水廿土金水
漾	水廿土水
𣻌	水廿土水
𤀡	水廿土水
溔	水廿土火
𤅼	水廿土火
𤅽	水廿土火
𪈸	水廿土火
𭳦	水廿土火
𭳻	水廿土火
濧	水廿土戈
𣿝	水廿土戈
𣿭	水廿土戈
𤂡	水廿土戈
𬐼	水廿土戈尸
渼	水廿土大
𤄾	水廿土大
𣾖	水廿土弓
湵	水廿土人
㵪	水廿土人
𤄂	水廿土人
𭳫	水廿土手
㵛	水廿土口
濭	水廿土廿
㳾	水廿土山
𣹀	水廿竹月
㴕	水廿竹木
𣼒	水廿竹火
𭳵	水廿竹火
𣿅	水廿竹土
𰜴	水廿竹十
𣵽	水廿竹大
𭲝	水廿竹中
溠	水廿竹一
𣼵	水廿竹弓
𤀘	水廿竹弓
㴀	水廿竹人
𤁬	水廿竹心
𣺛	水廿竹手
𭱂	水廿竹手
渞	水廿竹山
𬈩	水廿戈月
𣸃	水廿戈木
瀳	水廿戈火
𣸻	水廿戈竹
𣷸	水廿戈人
𪷺	水廿戈心
𣿎	水廿戈口
𣹓	水廿戈口
𭳎	水廿戈口
㶓	水廿戈尸
𤂘	水廿戈尸
漭	水廿戈廿
𣻡	水廿戈女
𣳘	水廿十
𤀞	水廿十日
滞	水廿十月
𤄠	水廿十金
𣿻	水廿十火
𭳚	水廿十戈
𭱺	水廿十十
𣵃	水廿十弓
𤁇	水廿十口
𣼷	水廿十尸
𣻻	水廿十山
浂	水廿大
𰜨	水廿大木
𤄀	水廿大水
𭳊	水廿大土
𣸽	水廿大十
渕	水廿大弓
𣷬	水廿大弓
渃	水廿大口
𭲉	水廿大口
𣷃	水廿大尸
𭰼	水廿大尸
𣾘	水廿大廿
𣳘	水廿中
滿	水廿中月
滞	水廿中月
𣺏	水廿中月
𣼛	水廿中月
𬇣	水廿中月
𭳓	水廿中月
潢	水廿中金
𭲑	水廿中金
𤀚	水廿中木
𭳨	水廿中水
𤃇	水廿中火
𤁉	水廿中土
㴖	水廿中十
𣶿	水廿中十
渶	水廿中大
潇	水廿中中
𤂣	水廿中中
漌	水廿中一
漢	水廿中人
𪷞	水廿中廿
𬉠	水廿中田
瀟	水廿中難
泔	水廿一
潽	水廿一日
满	水廿一月
頮	水廿一月金
颒	水廿一月人
淇	水廿一金
潢	水廿一金
湈	水廿一木
𰜑	水廿一水
𣶽	水廿一戈
澕	水廿一十
𤂹	水廿一十
𤃊	水廿一十
𣵷	水廿一中
㳕	水廿一一
𣾑	水廿一一
𣾛	水廿一一
𰜦	水廿一一
𭲁	水廿一人
渮	水廿一口
𤀾	水廿一廿
𭰳	水廿一山
湛	水廿一女
𣺋	水廿一田
𪷇	水廿弓竹
𪷵	水廿弓戈
𣿮	水廿弓大
𪸄	水廿弓中
𣺜	水廿弓一
𤃥	水廿弓廿
𣸱	水廿弓山
𣼏	水廿弓山
𤅢	水廿人月
𦴶	水廿人木
𭱻	水廿人木
濩	水廿人水
𤅩	水廿人火
灘	水廿人土
𰜝	水廿人中
㶋	水廿人一
𣷏	水廿人弓
𤁤	水廿人人
㳸	水廿人心
溚	水廿人口
濸	水廿人口
瀁	水廿人女
𭟕	水廿心
㵩	水廿心木
𬈵	水廿心木
𣷨	水廿心弓
㴚	水廿心人
濍	水廿心心
𬉡	水廿心心
𪷒	水廿心山
洋	水廿手
𣴱	水廿手
𬉔	水廿手木
溠	水廿手一
𣺸	水廿手人
㳾	水廿手山
𣼑	水廿口木
𤅞	水廿口水
灌	水廿口土
𤀂	水廿口大
𣸿	水廿口山
𣽇	水廿尸水
𣿯	水廿尸水
𤁸	水廿尸竹
𤃂	水廿尸戈
𰛤	水廿尸中
𤄓	水廿尸人
𤁮	水廿尸口
灆	水廿尸廿
𭰜	水廿尸山
洴	水廿廿
汫	水廿廿
溝	水廿廿月
𤂙	水廿廿月
湴	水廿廿金
𣾁	水廿廿金
𤄝	水廿廿戈
湴	水廿廿一
𬈈	水廿廿一
渆	水廿廿弓
𭱧	水廿廿弓
㵛	水廿廿口
灎	水廿廿廿
灔	水廿廿山
溯	水廿山月
満	水廿山月
溬	水廿山戈
㴊	水廿山弓
𤂇	水廿女木
𤂋	水廿女木
𤄶	水廿女木
𭲵	水廿女火
𣼥	水廿女土
𤀟	水廿女土
滋	水廿女戈
𪭕	水廿女戈
𭳷	水廿女一
𣴭	水廿女人
濨	水廿女心
𣺾	水廿女口
𬇿	水廿女卜
浀	水廿田
渵	水廿田
漕	水廿田日
澫	水廿田月
瀎	水廿田戈
澊	水廿田戈
𤃿	水廿田戈
𣾇	水廿田大
𤁊	水廿田大
𪶲	水廿田大
𭲿	水廿田弓
𭳡	水廿田弓
𤃫	水廿田心
𣾟	水廿田口
澧	水廿田廿
濃	水廿田女
溓	水廿難金
𤀐	水廿卜月
𤅖	水廿卜金
𤃴	水廿卜竹
㵏	水廿卜十
𣻿	水廿卜十
𤂍	水廿卜十
𤂧	水廿卜十
淽	水廿卜一
𤃓	水廿卜一
𣸆	水廿卜心
𬈸	水廿卜口
淓	水廿卜尸
㵁	水廿卜山
𣺬	水廿卜山
㵁	水廿卜女
𣺬	水廿卜女
𭳀	水廿卜田
汕	水山
潉	水山日心
𤁑	水山日尸
漰	水山月月
䀀	水山月廿
𥁭	水山月廿
鎏	水山金
鍌	水山金
𨧁	水山金
𣳒	水山水
𣴽	水山火
𤏁	水山火
𤉠	水山火
㴥	水山火月
𪾛	水山火月廿
𪶕	水山火木
𡒖	水山土
𭏈	水山土
𤄔	水山土戈
澂	水山土大
𪷁	水山土大
𣶎	水山竹日
𪃂	水山竹日火
𧖶	水山竹月廿
𣶧	水山竹水
𤀖	水山竹戈
𣺿	水山竹十
溄	水山竹手
𣾧	水山戈木
𣿄	水山戈竹
漴	水山十火
灃	水山十廿
汹	水山大
湠	水山大火
𣳸	水山大山
𣵙	水山中中
𣵙	水山中弓
湍	水山一月
𮋠	水山一月中
湠	水山一火
漄	水山一土
𣳫	水山一土
𣵭	水山一土
𪶁	水山一土
𬉍	水山一土
瑬	水山一土戈
滍	水山一戈
𪶐	水山一十
𥒟	水山一口
𣷰	水山一口
溰	水山一廿
𣵘	水山一山
涵	水山弓水
㴠	水山弓水
𣵵	水山弓水
𰛦	水山弓戈
溦	水山弓大
𭱾	水山弓大
𣽵	水山弓一
𣲸	水山弓尸
𣼍	水山人月
𤂃	水山人月一
漼	水山人土
𰜤	水山人土
𭰰	水山人戈
𭰰	水山人中
𦤢	水山人一月
𪛎	水山人一月
涔	水山人弓
𣶟	水山人女
𣿗	水山尸大
𣹵	水山尸山
𰛥	水山尸山
潂	水山廿金
㵹	水山廿大
潂	水山廿一
𣾚	水山廿弓
灩	水山廿廿
𤅐	水山廿廿
𤅿	水山廿廿
灧	水山廿山
泏	水山山
𤀻	水山山木
溦	水山山大
𣹨	水山山弓
𭒐	水山女
𭱒	水山女戈
𢿚	水山卜水
𣷪	水山卜土
𪶱	水山卜十
𬈰	水山卜中一
𤀆	水山卜廿
汝	水女
𡚩	水女
𫆬	水女月
𣶄	水女月弓
𣽮	水女月山
鎏	水女金
𭔻	水女木戈
𰛝	水女水
𪶨	水女水心
𣸏	水女水手
𣿍	水女水廿
𭳌	水女火日
𤁗	水女火月
𣻀	水女火月
𬉲	水女火金
灤	水女火木
𪶈	水女火木
𣷕	水女火水
𤀼	水女火水
㴴	水女火火
𤅇	水女火火
𪷜	水女火火
𬉳	水女火火
濰	水女火土
𪶋	水女火竹
𤅶	水女火大
灣	水女火弓
𰝎	水女火弓
𤄋	水女火心
𤂁	水女火手
𤀽	水女火口
𣾵	水女火山
𭱴	水女火山
𪷉	水女火田
𡏬	水女土
𪤊	水女土
𫮏	水女土
𪃂	水女竹日火
𣯌	水女竹手山
濼	水女戈木
𠬹	水女戈火
𣴍	水女戈火
𠬾	水女戈戈
𣳯	水女戈戈
𣴌	水女戈大
𠬯	水女戈中
𣸠	水女戈弓
泤	水女戈人
泑	水女戈尸
𬇚	水女戈尸
㴌	水女十口
潍	水女一土
𣴣	水女一土
瑬	水女一土戈
𭲎	水女一戈
𣶍	水女一大
湽	水女一田
𭰕	水女弓木
淥	水女弓水
𣸟	水女弓弓
湪	水女弓人
𣺵	水女弓人
𭳛	水女弓難
𣲄	水女人
𠬜	水女心
𫺋	水女心
洳	水女口
𪡤	水女口
𫫐	水女口
㵖	水女口火
㖳	水女口心
𣹤	水女口手
𬧁	水女口卜人
𠬜	水女山
灉	水女山土
𡟖	水女女
漅	水女女木
𣷒	水女女土
㳨	水女女弓
𣴖	水女女弓
㴩	水女女山
𣽪	水女女山
𣳺	水女女山
𤁯	水女女女
淄	水女女田
𣺤	水女田弓
沺	水田
畓	水田
渭	水田月
𰝖	水田月心
𣽭	水田月廿
𬐻	水田月廿
泗	水田金
𣳉	水田金
㴄	水田金月
溭	水田金水
㴄	水田金口
㴅	水田金口
淉	水田木
涃	水田木
潿	水田木手
𣲷	水田水
𣴺	水田水
溿	水田火手
𬈨	水田火山
浬	水田土
潶	水田土火
濹	水田土土
𣻞	水田土戈
𪸈	水田土戈
𣼫	水田土弓
𣴪	水田竹十
𤅴	水田戈木
𣸋	水田戈大
漍	水田戈一
𪷈	水田十金
𭱀	水田十人
涸	水田十口
洇	水田大
𭑞	水田大
𣲶	水田大弓
𰜩	水田大心
𪶀	水田大尸
㳌	水田中
濖	水田中日
湡	水田中月
㵋	水田中金
𣽠	水田中水
𤃭	水田中火
𭳗	水田中火
𭳠	水田中火
𤄷	水田中土
濁	水田中戈
𣺽	水田中戈
澤	水田中十
𤀎	水田中十
𬈪	水田中十
㶔	水田中大
𤅹	水田中大
瀱	水田中弓
𪶒	水田中弓
潀	水田中人
潈	水田中人
𣽁	水田中人
𣾞	水田中人
𤁣	水田中心
𤄢	水田中手
𣸤	水田中尸
澴	水田中女
𤁆	水田中女
𣿓	水田中卜
𮨡	水田一月金
𬇹	水田一戈
𭱏	水田一大
淠	水田一中
溷	水田一人
𣶦	水田一口
渨	水田一女
𣳲	水田弓木
歠	水田弓人
𣤕	水田弓人
泅	水田人
𭲂	水田人月
溫	水田人廿
㴓	水田心
𪶑	水田心竹
𭱿	水田手月
涠	水田手尸
洄	水田口
𣿹	水田口金
𭊼	水田口竹心
𣴵	水田口一
𭰊	水田尸
潩	水田廿金
𤄤	水田廿金
𬉛	水田廿戈
滭	水田廿十
漯	水田女火
㶟	水田田火
灅	水田田土
𭳸	水田田大
㵽	水田田田
𣳗	水田卜戈
𣳠	水田卜戈
𣶡	水田卜弓
𣺀	水田卜弓
𣱶	水卜
𰛿	水卜日水
鿌	水卜日火
淖	水卜日十
𣿌	水卜日女
𣻇	水卜日女
渧	水卜月月
濄	水卜月月
湞	水卜月金
𣴸	水卜月金
𣸎	水卜月水
灕	水卜月土
𪷦	水卜月十
澈	水卜月大
𤅊	水卜月大
𭲋	水卜月大
浈	水卜月人
瀧	水卜月心
𣽊	水卜月口
𣾪	水卜月口
𣹔	水卜月口
滂	水卜月尸
𪾒	水卜月廿
𬐯	水卜月廿
濬	水卜月山
𣿰	水卜月山
𤁠	水卜月山
滴	水卜金月
滳	水卜金月
𣹿	水卜金月
𣾌	水卜金月
𪷙	水卜金金
滦	水卜金木
𪶧	水卜金木
𣷷	水卜金水
𭱝	水卜金水
𬉁	水卜金戈
𭰺	水卜金十
洨	水卜金大
湙	水卜金大
𪶺	水卜金大
湾	水卜金弓
澻	水卜金人
𣳍	水卜金尸
㴒	水卜金廿
渷	水卜金山
滾	水卜金女
滚	水卜金女
𬈟	水卜金女
𤄖	水卜木土
㳡	水卜木戈
潡	水卜木大
漷	水卜木中
澵	水卜木中
瀙	水卜木山
𣲏	水卜水
澯	水卜水木
瀣	水卜水一
𤂔	水卜火金
㴹	水卜火木
淑	水卜火水
𰜓	水卜火戈
𣷧	水卜火口
注	水卜土
塰	水卜土
𭲗	水卜土土
澾	水卜土手
𤃤	水卜土山
瀕	水卜竹金
濓	水卜竹金
𤂓	水卜竹金
𤄰	水卜竹金
𣻣	水卜竹水
𣸥	水卜竹竹
漨	水卜竹十
𰛱	水卜竹十
𣷯	水卜竹中
滻	水卜竹一
𤅣	水卜竹一
沆	水卜竹弓
濒	水卜竹人
𭳩	水卜竹心
𰜫	水卜竹口
汸	水卜竹尸
𤄺	水卜竹尸
𣿼	水卜竹山
𤀹	水卜竹山
㳖	水卜竹女
𣽚	水卜戈日
淯	水卜戈月
𣽱	水卜戈月
㳿	水卜戈木
𤀮	水卜戈木
𣼧	水卜戈十
𣼠	水卜戈弓
𬉫	水卜戈弓
㳰	水卜戈廿
流	水卜戈山
㳘	水卜戈山
流	水卜戈女
㳆	水卜十
灨	水卜十金
𤁀	水卜十竹
漣	水卜十十
洴	水卜十十
𤀫	水卜十十
𤁕	水卜十中
渆	水卜十弓
𣸘	水卜十心
汶	水卜大
㳠	水卜大
𭇚	水卜大
㵦	水卜大月
𬈀	水卜大月
灜	水卜大金
𤃜	水卜大火
𪶸	水卜大火
𪶊	水卜大戈
𣾣	水卜大十
𤀱	水卜大十
𰜮	水卜大十
滧	水卜大大
济	水卜大中
済	水卜大中
𭲍	水卜大中
滻	水卜大一
𭲴	水卜大一
浏	水卜大弓
涟	水卜大手
𣿔	水卜大手
𤁁	水卜大手
𤅀	水卜大手
𣵰	水卜大口
𤅗	水卜大口
𣽑	水卜大廿
瀛	水卜大女
𣺒	水卜大女
沛	水卜中月
𣴯	水卜中月
瀢	水卜中金
洂	水卜中金
𣿱	水卜中火
涉	水卜中竹
渉	水卜中竹
𣵉	水卜中大
𪵺	水卜中大
𤅝	水卜中中
沚	水卜中一
𭆨	水卜中一
𣶵	水卜中人
𬉋	水卜中人
𬉃	水卜中口
𤅻	水卜中山
𭆦	水卜一
𰛈	水卜一
𭲾	水卜一日
𰜀	水卜一月
渋	水卜一金
𰛧	水卜一火
濊	水卜一竹
𣾥	水卜一竹
𤂴	水卜一戈
澁	水卜一一
𣾅	水卜一弓
泚	水卜一心
𭰱	水卜一心
𣵧	水卜一口
𧥿	水卜一口
𤁧	水卜一山
𰝢	水卜一山
𣳓	水卜一卜
𣲁	水卜弓
𣻢	水卜弓月
灜	水卜弓金
𣽘	水卜弓木
滮	水卜弓竹
𣾹	水卜弓戈
𬉩	水卜弓大
𣵕	水卜弓人
𤅀	水卜弓手
𤅗	水卜弓口
𤃔	水卜弓山
瀛	水卜弓女
𣲓	水卜人
淬	水卜人十
液	水卜人大
𤁴	水卜人弓
𭱕	水卜人尸
𬉜	水卜心月
滹	水卜心木
𭱨	水卜心木
𬈶	水卜心火
𤀶	水卜心土
𣶭	水卜心竹
澞	水卜心大
𣻐	水卜心一
淲	水卜心弓
澽	水卜心人
濾	水卜心心
滤	水卜心心
𤄦	水卜心心
𤀃	水卜心口
𪷓	水卜心尸
瀘	水卜心廿
淲	水卜心山
𤃒	水卜心山
𭱼	水卜心山
𭳁	水卜心山
𭊅	水卜手中
沾	水卜口
湻	水卜口日
㶆	水卜口日
𣿉	水卜口日
滈	水卜口月
𤂂	水卜口月
𭳇	水卜口月
𤂿	水卜口金
淳	水卜口木
𭱰	水卜口木
𧩁	水卜口水
涼	水卜口火
𣸾	水卜口火
滸	水卜口十
𣹾	水卜口十
𤂸	水卜口十
𤀏	水卜口一
𤄲	水卜口一
渟	水卜口弓
涥	水卜口弓
湸	水卜口弓
濠	水卜口人
𣿤	水卜口人
湸	水卜口山
𣻼	水卜口山
瀼	水卜口女
𣺓	水卜口女
𤅭	水卜口女
𪶦	水卜口女
𰝯	水卜口女
𬈠	水卜口田
𤄅	水卜口難
泸	水卜尸
㶛	水卜尸金
𤄕	水卜尸金
游	水卜尸木
湤	水卜尸木
𰛶	水卜尸木
𬈮	水卜尸土
𣻒	水卜尸戈
㵀	水卜尸大
𣷫	水卜尸大
𬉘	水卜尸大
𣻒	水卜尸中
𣻓	水卜尸一
漩	水卜尸人
𬉀	水卜尸口
𣹪	水卜尸山
𣽩	水卜尸山
𣷑	水卜尸女
𣽩	水卜尸女
𤃃	水卜尸田
𤃳	水卜尸田
𤄫	水卜尸田
淤	水卜尸卜
泣	水卜廿
湆	水卜廿日
湇	水卜廿月
𰜜	水卜廿木
潼	水卜廿土
浐	水卜廿竹
𤃪	水卜廿戈
漳	水卜廿十
㳯	水卜廿十
𬈢	水卜廿中
𭱐	水卜廿弓
澻	水卜廿人
澺	水卜廿心
涪	水卜廿口
𣽢	水卜廿口
𰜟	水卜廿口
𣺄	水卜廿廿
滝	水卜廿山
滰	水卜廿山
𣽾	水卜廿山
𣿪	水卜廿山
𬈣	水卜廿山
淁	水卜廿女
滝	水卜廿女
𬉙	水卜廿田
漓	水卜山月
𣻤	水卜山木
𣹭	水卜山水
𣹳	水卜山水
滮	水卜山竹
𭰔	水卜山大
𰝱	水卜山大
𤁘	水卜山中
𭱛	水卜山尸
𣶑	水卜山山
汒	水卜女
㵝	水卜女月
𤅘	水卜女月
𣼅	水卜女木
𣻤	水卜女木
𣹭	水卜女水
