的	2
了	1
我	2
是	6
在	4
你	2
有	4
不	1
就	0
也	4
要	1
吧	6
说	3
没	3
还	3
对	7
人	8
个	8
中	5
呢	6
来	5
会	8
用	7
把	5
后	7
小	9
新	0
当	9
快	9
高	0
和	26
都	47
好	47
他	24
去	40
到	12
上	21
那	17
看	20
吗	67
为	34
她	44
与	21
给	28
等	88
这	30
下	10
恩	60
能	22
很	27
做	28
多	27
想	46
被	34
点	21
而	10
一	10
又	77
从	88
将	37
时	64
但	26
过	34
么	20
打	51
大	40
年	80
啦	60
地	44
以	28
买	17
里	60
让	31
着	80
先	24
啊	61
或	53
呀	61
并	80
找	53
及	17
得	26
跟	67
太	40
发	23
比	22
玩	11
们	27
月	77
吃	68
它	30
其	44
话	32
请	35
钱	83
叫	62
出	22
哈	68
家	30
问	37
别	62
由	50
加	46
所	72
却	47
写	37
啥	68
搞	50
事	50
如	46
使	25
刚	72
成	53
换	57
嗯	66
哪	67
爱	20
听	62
少	90
靠	24
帮	57
算	88
忙	90
学	90
则	72
水	12
改	18
唉	63
张	12
见	77
放	08
区	71
进	35
性	95
怕	96
讲	35
错	84
挺	52
掉	51
外	23
生	25
应	00
心	33
强	16
送	38
拍	56
市	00
撒	58
非	11
哎	64
转	45
块	45
线	23
道	38
哇	64
难	70
哦	63
阿	71
喝	66
近	32
交	00
样	48
传	25
慢	96
越	43
长	42
部	07
据	57
怪	97
站	01
谈	39
群	18
汗	31
数	98
陈	74
顶	11
楼	49
远	31
海	38
热	55
挂	54
涨	32
刘	02
原	71
式	43
赚	78
队	78
费	55
坏	41
龙	43
动	14
教	48
唔	61
骂	66
陪	70
镇	84
建	15
懂	94
指	52
跌	65
球	13
提	56
除	78
抓	52
课	36
理	16
抢	58
混	36
操	56
敢	18
破	14
整	58
喊	63
补	33
烦	91
知	86
试	33
情	95
阳	76
排	51
随	74
帖	41
剑	82
孙	19
铁	85
炒	99
输	48
骗	73
秒	29
短	81
板	42
烂	98
烧	95
欲	87
抽	55
烟	96
胖	79
防	70
灯	91
郭	07
戏	73
桥	42
粉	98
钟	85
韩	45
狂	41
恨	97
沙	39
银	87
领	81
祝	36
望	07
缺	85
贼	73
郑	87
秋	29
端	02
持	54
迷	39
胜	75
摸	54
惨	93
料	94
醒	16
武	13
锁	89
味	65
懒	97
陆	75
酸	13
档	49
喽	69
晓	65
熟	05
创	82
继	29
施	08
吵	69
耐	14
抄	59
刻	02
瓶	81
族	08
骑	74
智	86
针	84
敲	01
怀	91
铺	83
锅	86
珠	15
砖	15
颜	01
肺	75
煤	94
辣	05
趟	49
撑	59
斌	03
挡	59
咪	69
腾	79
判	92
怡	93
矮	82
胆	76
炉	93
销	89
砂	19
耿	19
靖	05
赐	76
麟	09
滕	79
灿	92
削	92
锭	83
钞	89
讚	04
麒	04
竭	06
悄	99
燮	99
竣	03
鹫	03
詩	04
親	06
談	09
謂	06
謎	09
再	104
于	104
嘛	600
号	600
日	601
才	402
可	106
最	604
真	408
开	104
向	272
之	303
更	105
该	307
走	408
前	802
您	273
天	108
已	177
谁	307
内	402
老	447
只	608
拿	805
带	442
死	102
行	212
卖	408
晕	605
像	272
回	606
元	102
卡	212
者	446
起	478
各	276
分	802
总	803
咯	670
三	101
连	343
车	405
万	102
全	801
按	530
早	604
拉	500
偶	262
本	502
页	108
第	882
完	302
同	772
系	209
花	442
